trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 1.0, 'e': 0.4916441974609651}",20,0,-34.729976009679746,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
73,False,"{'a': 1.0, 'e': 0.4867522559599717}",30,15,-36.52709736567636,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
74,False,"{'a': 1.0, 'e': 0.48190899009020244}",20,4,12.352657988990028,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 1.0, 'e': 0.4771139155210344}",25,0,-35.32769141703714,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
76,False,"{'a': 1.0, 'e': 0.4723665527410147}",25,3,-0.5043588931413863,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
77,False,"{'a': 1.0, 'e': 0.46766642700990924}",20,0,-36.74468908982854,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
78,False,"{'a': 1.0, 'e': 0.46301306831122807}",35,21,-11.911045640770887,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 0}",1
79,False,"{'a': 1.0, 'e': 0.4584060113052235}",20,13,0.09945928438806262,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 1.0, 'e': 0.45384479528235583}",20,3,-21.985526698683792,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
81,False,"{'a': 1.0, 'e': 0.44932896411722156}",20,0,-24.059804797788697,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
82,False,"{'a': 1.0, 'e': 0.4448580662229411}",25,3,0.7381899079684111,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
83,False,"{'a': 1.0, 'e': 0.44043165450599925}",20,0,-9.707100611691542,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
84,False,"{'a': 1.0, 'e': 0.43604928632153556}",20,3,-22.972246667777156,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
85,False,"{'a': 1.0, 'e': 0.43171052342907973}",25,11,4.183735737483546,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
86,False,"{'a': 1.0, 'e': 0.4274149319487267}",20,6,-38.123569675922504,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
87,False,"{'a': 1.0, 'e': 0.4231620823177488}",25,0,-17.880214161345123,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
